title,id,abstract,categories,doi,created,updated,authors,affiliation,url
on eigenfunctions and nodal sets of the witten-laplacian,2502.01079,"in this paper, we successfully establish a courant-type nodal domain theorem for both the dirichlet eigenvalue problem and the closed eigenvalue problem of the witten-laplacian. moreover, we also characterize the properties of the nodal lines of the eigenfunctions of the witten-laplacian on smooth riemannian $2$-manifolds. besides, for a riemann surface with genus $g$, an upper bound for the multiplicity of closed eigenvalues of the witten-laplacian can be provided.",math.dg,,2025-02-03,2025-03-17,"['ruifeng chen', 'jing mao']",[],https://arxiv.org/abs/2502.01079
morse functions definable in d-minimal structures,2502.01082,fix a d-minimal expansion of an ordered field. we consider the space $\mathcal d^p(m)$ of definable $\mathcal c^p$ functions defined on a definable $\mathcal c^p$ submanifold $m$ equipped with definable $\mathcal c^p$ topology. the set of definable $\mathcal c^p$ morse functions is dense in $\mathcal d^p(m)$.,math.lo,,2025-02-03,,['masato fujita'],[],https://arxiv.org/abs/2502.01082
a note on rainbow 4-term arithmetic progression,2502.01086,"let [n]=\{1,\,2,...,\,n\} be colored in k colors. a rainbow ap(k) in [n] is a k term arithmetic progression whose elements have diferent colors. conlon, jungic and radoicic [10] had shown that there exists an equinumerous 4-coloring of [4n] which happens to be rainbow ap(4) free, when n is even and subsequently haghighi and nowbandegani [7] shown that such a coloring of [4n] also exists when n>1 is odd. based on their construction, we shown that a balanced 4-coloring of [n] ( i.e. size of each color class is at least \left\lfloor n/4\right\rfloor ) actually exists for all natural number n. further we established that for nonnegative integers k\geq3 and n>1, every balanced k-coloring of [kn+r] with 0\leq r<k-1, contains a rainbow ap(k) if and only if k=3. in this paper we also have discussed about rainbow free equinumerous 4-coloring of \mathbb{z}_{n}.",math.co,,2025-02-03,,"['subhajit jana', 'pratulananda das']",[],https://arxiv.org/abs/2502.01086
on subordinated semigroups and hardy spaces associated to fractional   powers of operators,2502.01095,"let $l$ be a positive self-adjoint operator on $l^2(x)$, where $x$ is a $\sigma$-finite metric measure space. when $\alpha \in (0,1)$, the subordinated semigroup $\{\exp(-tl^{\alpha}):t \in \mathbb{r}^+\}$ can be defined on $l^2(x)$ and extended to $l^p(x)$. we prove various results about the semigroup $\{\exp(-tl^{\alpha}):t \in \mathbb{r}^+\}$, under different assumptions on $l$. these include the weak type $(1,1)$ boundedness of the maximal operator $f \mapsto \sup _{t\in \mathbb{r}^+}\exp(-tl^{\alpha})f$ and characterisations of hardy spaces associated to the operator $l$ by the area integral and vertical square function.",math.fa,,2025-02-03,,"['the anh bui', 'michael g. cowling', 'xuan thinh duong']",[],https://arxiv.org/abs/2502.01095
continuity estimates for degenerate parabolic double-phase equations via   nonlinear potentials,2502.01097,"in this article, we study regularity properties for degenerate parabolic double-phase equations. we establish continuity estimates for bounded weak solutions in terms of elliptic riesz potentials on the right-hand side of the equation.",math.ap,,2025-02-03,,['qifan li'],[],https://arxiv.org/abs/2502.01097
bound states of 2+1 fermionic trimers on lattice at strong couplings,2502.01099,"in this paper, we investigate the bound states of $2+1$ fermionic trimers on a three-dimensional lattice at strong coupling. specifically, we analyze the discrete spectrum of the associated three-body discrete schr\""odinger operator $h_{\gamma,\lambda}(k),$ focusing on energies below the continuum and within its gap. depending on the quasi-momentum $k,$ we show that if the mass ratio $\gamma>0$ between the identical fermions and the third particle is below a certain threshold, the operator lacks a discrete spectrum below the essential spectrum for sufficiently large coupling $\lambda>0.$ conversely, if $\gamma$ exceeds this threshold, $h_{\gamma,\lambda}(k)$ admits at least one eigenvalue below the essential spectrum. similar phenomena are observed in the neighborhood of the two-particle branch of the essential spectrum, which resides within the gap and grows sublinearly as $\lambda\to+\infty.$ for $k=0,$ the mass ratio thresholds are explicitly calculated and it turns out that, for certain intermediate mass ratios and large couplings, bound states emerge within the gap, although ground states are absent.",math.sp math-ph math.fa math.mp,,2025-02-03,,"['janikul abdullaev', 'ahmad khalkhuzhaev', 'shokhrukh yu. kholmatov']",[],https://arxiv.org/abs/2502.01099
geometric gauss sums and gross-koblitz formulas over function fields,2502.01109,"in this paper, we prove the gross-koblitz-thakur formulas relating special $v$-adic gamma values to the newly introduced geometric gauss sums in the function field setting. these are analogous to those for the $p$-adic gamma function in the classical setting due to gross-koblitz and the $v$-adic arithmetic gamma function over function fields due to thakur. for these new gauss sums, we establish their key arithmetic properties, including the uniformity of absolute values and prime factorizations. we also determine their signs at infinite places, and derive two analogs of the hasse-davenport relations.",math.nt,,2025-02-03,,['ting-wei chang'],[],https://arxiv.org/abs/2502.01109
auslander regularity of $p$-adic banach algebras via almost mathematics,2502.01119,"we discuss an ""almost"" version of auslander regularity and use it to prove the auslander regularity of various banach algebras over non-discretely valued fields appearing naturally in $p$-adic locally analytic representation theory: completed weyl algebras, the completed enveloping algebra of a lie algebra, and the banach completion of the distribution algebra $d(g, k)$ for a compact $p$-adic lie group $g$.",math.rt math.nt math.ra,,2025-02-03,,['andreas bode'],[],https://arxiv.org/abs/2502.01119
lipschitz decompositions of finite $\ell_{p}$ metrics,2502.01120,"lipschitz decomposition is a useful tool in the design of efficient algorithms involving metric spaces. while many bounds are known for different families of finite metrics, the optimal parameters for $n$-point subsets of $\ell_p$, for $p > 2$, remained open, see e.g. [naor, soda 2017]. we make significant progress on this question and establish the bound $\beta=o(\log^{1-1/p} n)$. building on prior work, we demonstrate applications of this result to two problems, high-dimensional geometric spanners and distance labeling schemes. in addition, we sharpen a related decomposition bound for $1<p<2$, due to filtser and neiman [algorithmica 2022].",cs.cg math.mg,,2025-02-03,,"['robert krauthgamer', 'nir petruschka']",[],https://arxiv.org/abs/2502.01120
on flexes associated with higher-order flexible bar-joint frameworks,2502.01124,"the famous example of the double-watt mechanism given by connelly and servatius raises some problems concerning the classical definitions of higher-order flexibility and rigidity, respectively. recently, the author was able to give a proper redefinition of the flexion/rigidity order for bar-joint frameworks, but the question for the flexes associated with higher-order flexible structures remained open. in this paper we properly define these flexes based on the theory of algebraic curves and demonstrate their computation by means of puiseux series. the presented algebraic approach also allows to take reality issues into account.",math.ag,,2025-02-03,2025-02-10,['georg nawratil'],[],https://arxiv.org/abs/2502.01124
improved monolithic multigrid methods for high-order taylor-hood   discretizations,2502.01130,"numerical simulation of incompressible fluid flows has been an active topic of research in scientific computing for many years, with many contributions to both discretizations and linear and nonlinear solvers. in this work, we propose an improved relaxation scheme for higher-order taylor-hood discretizations of the incompressible stokes and navier-stokes equations, demonstrating its efficiency within monolithic multigrid preconditioners for the linear(ized) equations. the key to this improvement is an improved patch construction for vanka-style relaxation introducing, for the first time, overlap in the pressure degrees of freedom within the patches. numerical results demonstrate significant improvement in both multigrid iterations and time-to-solution for the linear stokes case, on both triangular and quadrilateral meshes. for the nonlinear navier-stokes case, we show similar improvements, including in the number of nonlinear iterations needed in an inexact newton method.",math.na cs.na,,2025-02-03,,"['amin rafiei', 'scott maclachlan']",[],https://arxiv.org/abs/2502.01130
when do pseudo-gorenstein rings become gorenstein?,2502.01133,"for a cohen--macaulay positively graded ring $r$, we say that $r$ is pseudo-gorenstein if its leading coefficient is 1. in this paper, we study the relationship between canonical trace and pseudo-gorensteinness for a graded ring. in particular, we show that if a nearly gorenstein graded domain satisfies certain mild assumptions and is pseudo-gorenstein, then it is necessarily gorenstein. as an application, we clarify the relationships among nearly gorensteinness, almost gorensteinness, and levelness, which generalize the notion of gorensteinness, in the context of standard graded domains. moreover, we give a method for constructing quasi-gorenstein rings by taking a veronese subalgebra of certain noetherian graded rings.",math.ac,,2025-02-03,2025-03-05,['sora miyashita'],[],https://arxiv.org/abs/2502.01133
nearly geodesic surfaces are filling,2502.01134,"a surface $s$ in a manifold $m$ is filling if $m-s$ consists of contractible components. we prove for any closed hyperbolic $3$-manifold $m$, there exists an $\epsilon_0>0$ such that every homotopy class of $(1+\epsilon)$-quasi-fuchsian surfaces with $0<\epsilon \leq \epsilon_0$ is filling. as a corollary, the set of embedded surfaces in $m$ satisfies a dichotomy: it consists of at most finitely many totally geodesic surfaces and surfaces with a quasi-fuchsian constant lower bound $1+\epsilon_0$. each of these nearly geodesic surfaces separates any pair of distinct points at the boundary of infinity of the universal cover. crucial tools include the rigidity results of mozes-shah, ratner, and shah. this work is inspired by a question of wu and xue whether random geodesics on random hyperbolic surfaces are filling.",math.gt math.dg math.ds,,2025-02-03,,['xiaolong hans han'],[],https://arxiv.org/abs/2502.01134
categorification of characteristic structures,2502.01138,"we develop a representation theory of categories as a means to explore characteristic structures in algebra. characteristic structures play a critical role in isomorphism testing of groups and algebras, and their construction and description often rely on specific knowledge of the parent object and its automorphisms. in many cases, questions of reproducibility and comparison arise. here we present a categorical framework that addresses these questions. we prove that every characteristic structure is the image of a functor equipped with a natural transformation. this shifts the local description in the parent object to a global one in the ambient category. through constructions in representation theory, such as tensor products, we can combine characteristic structure across multiple categories. our results are constructive, stated in the language of a constructive type theory, which facilitates implementations in theorem checkers.",math.gr math.ct math.ra,,2025-02-03,,"['peter a. brooksbank', 'heiko dietrich', 'joshua maglione', ""e. a. o'brien"", 'james b. wilson']",[],https://arxiv.org/abs/2502.01138
ideal mhd. part ii: rigidity from infinity for ideal alfv\'en waves in   3d thin domains,2502.01139,"this paper concerns the rigidity from infinity for alfv\'en waves governed by ideal incompressible magnetohydrodynamic equations subjected to strong background magnetic fields along the $x_1$-axis in 3d thin domains $\omega_\delta=\mathbb{r}^2\times(-\delta,\delta)$ with $\delta\in(0,1]$ and slip boundary conditions. we show that in any thin domain $\omega_\delta$, alfv\'en waves must vanish identically if their scattering fields vanish at infinities. as an application, the rigidity of alfv\'en waves in $\omega_{\delta}$, propagating along the horizontal direction, can be approximated by the rigidity of alfv\'en waves in $\mathbb{r}^2$ when $\delta$ is sufficiently small. our proof relies on the uniform (with respect to $\delta$) weighted energy estimates with a position parameter in weights to track the center of alfv\'en waves. the key issues in the analysis include dealing with the nonlinear nature of alfv\'en waves and the geometry of thin domains.",math.ap,,2025-02-03,,['mengni li'],[],https://arxiv.org/abs/2502.01139
assouad dimension of the takagi function,2502.01140,"for any integer $b\geq2$ and real series $\{c_n\}$ such that $\sum_{n=0}^\infty|c_n|<\infty$, the generalized takagi function $f_{{\mathbf c},b}(x)$ is defined by $$   f_{{\mathbf c},b}(x):=\sum_{n=0}^\infty c_n\phi(b^n x), \quad x\in [0,1], $$ where $\phi(x)=dist(x,\mathbb{z})$ is the distance from $x$ to the nearest integer. the collection of functions with the form are called the takagi class. in this paper, we show that in the case that $\varlimsup_{n \to \infty} b^n |c_n|<\infty$, the assouad dimension of the graph ${\mathcal g} f_{{\mathbf c},b}=\{(x,f_{{\mathbf c},b}(x)):x\in[0,1]\}$ for the generalized takagi function $f_{{\mathbf c},b}(x)$ is equal to one, that is, $$ \dim_a {\mathcal g} f_{{\mathbf c},b}=1. $$ in particular, for each $0<a<1$ and integer $b \geq 2$, we define takagi function $t_{a,b}$ as followed, $$   t_{a,b}(x):=\sum_{n=0}^\infty a^n \phi(b^n x), \quad x\in [0,1]. $$ then $   \dim_a {\mathcal g} t_{a,b}=1 $ if and only if $0<a \leq 1/b$.",math.ca,,2025-02-03,2025-03-14,['lai jiang'],[],https://arxiv.org/abs/2502.01140
a discontinuous galerkin method for h(curl)-elliptic hemivariational   inequalities,2502.01148,"in this paper, we develop a discontinuous galerkin (dg) method for solving h(curl)-elliptic hemivariational inequalities. by selecting an appropriate numerical flux, we construct an interior penalty discontinuous galerkin (ipdg) scheme. a comprehensive numerical analysis of the ipdg method is conducted, addressing key aspects such as consistency, boundedness, stability, and the existence, uniqueness, uniform boundedness of the numerical solutions. building on these properties, we establish a priori error estimates, demonstrating the optimal convergence order of the numerical solutions under suitable solution regularity assumptions. finally, a numerical example is presented to illustrate the theoretically predicted convergence order and to show the effectiveness of the proposed method.",math.na cs.na math.ap,,2025-02-03,,"['xiajie huang', 'fei wang', 'weimin han', 'min ling']",[],https://arxiv.org/abs/2502.01148
vortices for the magnetic ginzburg-landau theory in curved space,2502.01151,"since the ginzburg-landau theory is concerned with macroscopic phenomena, and gravity affects how objects interact at the macroscopic level. it becomes relevant to study the ginzburg-landau theory in curved space, that is, in the presence of gravity. in this paper, some existence theorems are established for the vortex solutions of the magnetic ginzburg-landau theory coupled to the einstein equations. first, when the coupling constant \lambda=1, we get a self-dual structure from the ginzburg-landau theory, then a partial differential equation with a gravitational term that has power-type singularities is deduced from the coupled system. to overcome the difficulty arising from the orders of singularities at the vortices, a constraint minimization method and a monotone iteration method are employed. we also show that the quantized flux and total curvature are determined by the number of vortices. second, when the coupling constant \lambda>0, we use a suitable ansatz to get the radially symmetric case for the magnetic ginzburg-landau theory in curved space. the existence of the symmetric vortex solutions are obtained through combining a two-step iterative shooting argument and a fixed-point theorem approach. some fundamental properties of the solutions are established via applying a series of analysis techniques.",math-ph math.mp,,2025-02-03,,"['lei cao', 'yilu xu', 'shouxin chen']",[],https://arxiv.org/abs/2502.01151
on the impact of the parametrization of deep convolutional neural   networks on post-training quantization,2502.01156,"this paper introduces novel theoretical approximation bounds for the output of quantized neural networks, with a focus on convolutional neural networks (cnn). by considering layerwise parametrization and focusing on the quantization of weights, we provide bounds that gain several orders of magnitude compared to state-of-the art results on classical deep convolutional neural netorks such as mobilenetv2 or resnets. these gains are achieved by improving the behaviour of the approximation bounds with respect to the depth parameter, which has the most impact on the approximation error induced by quantization. to complement our theoretical result, we provide a numerical exploration of our bounds on mo-bilenetv2 and resnets.",cs.it math.it,,2025-02-03,,"['samy houache', 'jean françois aujol', 'yann traonmilin']","['imb', 'ub, imb', 'imb']",https://arxiv.org/abs/2502.01156
scalable precise computation of shannon entropy,2502.01160,"quantitative information flow analyses (qif) are a class of techniques for measuring the amount of confidential information leaked by a program to its public outputs.   shannon entropy is an important method to quantify the amount of leakage in qif.   this paper focuses on the programs modeled in boolean constraints and optimizes the two stages of the shannon entropy computation to implement a scalable precise tool pse.   in the first stage, we design a knowledge compilation language called \addand that combines algebraic decision diagrams and conjunctive decomposition.   \addand avoids enumerating possible outputs of a program and supports tractable entropy computation.   in the second stage, we optimize the model counting queries that are used to compute the probabilities of outputs.   we compare pse with the state-of-the-art probably approximately correct tool entropyestimation, which was shown to significantly outperform the existing precise tools.   the experimental results demonstrate that pse solved 55 more benchmarks compared to entropyestimation in a total of 441. for 98% of the benchmarks that both pse and entropyestimation solved, pse is at least $10\times$ as efficient as entropyestimation.",cs.ai cs.it math.it,,2025-02-03,,"['yong lai', 'haolong tong', 'zhenghang xu', 'minghao yin']",[],https://arxiv.org/abs/2502.01160
on the private estimation of smooth transport maps,2502.01168,"estimating optimal transport maps between two distributions from respective samples is an important element for many machine learning methods. to do so, rather than extending discrete transport maps, it has been shown that estimating the brenier potential of the transport problem and obtaining a transport map through its gradient is near minimax optimal for smooth problems. in this paper, we investigate the private estimation of such potentials and transport maps with respect to the distribution samples.we propose a differentially private transport map estimator achieving an $l^2$ error of at most $n^{-1} \vee n^{-\frac{2 \alpha}{2 \alpha - 2 + d}} \vee (n\epsilon)^{-\frac{2 \alpha}{2 \alpha + d}} $ up to poly-logarithmic terms where $n$ is the sample size, $\epsilon$ is the desired level of privacy, $\alpha$ is the smoothness of the true transport map, and $d$ is the dimension of the feature space. we also provide a lower bound for the problem.",math.st stat.th,,2025-02-03,,"['clément lalanne', 'franck iutzeler', 'jean-michel loubes', 'julien chhor']","['imt, aniti', 'imt, aniti', 'imt, aniti', 'tse-r']",https://arxiv.org/abs/2502.01168
genetic contribution of advantaged ancestors in the biparental moran   model -- finite selection,2502.01178,"we study a population of n individuals evolving according to a biparental moran model with two types, one being advantaged compared to the other. the advantage is conferred by a mendelian mutation, that reduces the death probability of individuals carrying it. we assume that a proportion a of individuals initially carry this mutation, which therefore eventually gets fixed with high probability. after a long time, we sample a gene uniformly from the population, at a new locus, independent of the locus under selection, and calculate the probability that this gene originated from one of the initially advantaged individuals, when population size is large. our theorem provides quantitative insights, such as the observation that under strong selection, if only 1% of the individuals are initially advantaged, approximately 19% of the population's genome will originate from them after a long time.",math.pr q-bio.pe,,2025-02-03,,"['camille coron', 'yves le jan']","['mia paris-saclay', 'lmo']",https://arxiv.org/abs/2502.01178
a minimax optimal controller for positive systems,2502.01180,"we present an explicit solution to the discrete-time bellman equation for minimax optimal control of positive systems under unconstrained disturbances. the primary contribution of our result relies on deducing a bound for the disturbance penalty, which characterizes the existence of a finite solution to the problem class. moreover, this constraint on the disturbance penalty reveals that, in scenarios where a solution is feasible, the problem converges to its equivalent minimization problem in the absence of disturbances.",math.oc cs.sy eess.sy,,2025-02-03,,"['alba gurpegui', 'emma tegling', 'anders rantzer']",[],https://arxiv.org/abs/2502.01180
compressed image generation with denoising diffusion codebook models,2502.01189,"we present a novel generative approach based on denoising diffusion models (ddms), which produces high-quality image samples along with their losslessly compressed bit-stream representations. this is obtained by replacing the standard gaussian noise sampling in the reverse diffusion with a selection of noise samples from pre-defined codebooks of fixed iid gaussian vectors. surprisingly, we find that our method, termed denoising diffusion codebook model (ddcm), retains sample quality and diversity of standard ddms, even for extremely small codebooks. we leverage ddcm and pick the noises from the codebooks that best match a given image, converting our generative model into a highly effective lossy image codec achieving state-of-the-art perceptual image compression results. more generally, by setting other noise selections rules, we extend our compression method to any conditional image generation task (e.g., image restoration), where the generated images are produced jointly with their condensed bit-stream representations. our work is accompanied by a mathematical interpretation of the proposed compressed conditional generation schemes, establishing a connection with score-based approximations of posterior samplers for the tasks considered.",eess.iv cs.ai cs.cv cs.it eess.sp math.it,,2025-02-03,2025-02-10,"['guy ohayon', 'hila manor', 'tomer michaeli', 'michael elad']",[],https://arxiv.org/abs/2502.01189
sparsity-driven aggregation of mixed integer programs,2502.01192,"cutting planes are crucial for the performance of branch-and-cut algorithms for solving mixed-integer programming (mip) problems, and linear row aggregation has been successfully applied to better leverage the potential of several major families of mip cutting planes. this paper formulates the problem of finding good quality aggregations as an $\ell_0$-norm minimization problem and employs a combination of the lasso method and iterative reweighting to efficiently find sparse solutions corresponding to good aggregations. a comparative analysis of the proposed algorithm and the state-of-the-art greedy heuristic approach is presented, showing that the greedy heuristic implements a stepwise selection algorithm for the $\ell_0$-norm minimization problem. further, we present an example where our approach succeeds, whereas the standard heuristic fails to find an aggregation with desired properties. the algorithm is implemented within the constraint integer programming solver scip, and computational experiments on the miplib 2017 benchmark show that although the algorithm leads to slowdowns on relatively ``easier'' instances, our aggregation approach decreases the mean running time on a subset of challenging instances and leads to smaller branch-and-bound trees.",math.oc,,2025-02-03,2025-02-04,"['liding xu', 'gioni mexi', 'ksenia bestuzheva']",[],https://arxiv.org/abs/2502.01192
noether symmetries in $f(q)-$cosmology,2502.01202,"we apply the noether symmetry analysis in $f\left( q\right)$-cosmology to determine invariant functions and conservation laws for the cosmological field equations. for the flrw background and the four families of connections, it is found that only power-law $f\left( q\right)$ functions admit point noether symmetries. finally, exact and analytic solutions are derived using the invariant functions.",gr-qc hep-th math-ph math.mp,,2025-02-03,,"['konstantinos f. dialektopoulos', 'genly leon', 'andronikos paliathanasis']",[],https://arxiv.org/abs/2502.01202
pathwise mild solutions for superlinear stochastic evolution equations   and their attractors,2502.01209,"we investigate stochastic parabolic evolution equations with time-dependent random generators and locally lipschitz continuous drift terms. using pathwise mild solutions, we construct an infinite-dimensional stationary ornstein-uhlenbeck type process, which is shown to be tempered in suitable function spaces. this property, together with a bootstrapping argument based on the regularizing effect of parabolic evolution families, is then applied to prove the global well-posedness and the existence of a random attractor for reaction-diffusion equations with random non-autonomous generators and nonlinearities satisfying certain growth and dissipativity assumptions.",math.pr math.ap math.ds,,2025-02-03,,"['alexandra blessing', 'tim seitz', 'stefanie sonner', 'bao quoc tang']",[],https://arxiv.org/abs/2502.01209
characterization of lie centralizable mappings on b(x),2502.01213,"assume that b(x) is the algebra of all bounded linear operators on a complex banach space x, and let w in b(x) is such that cl(w(x)) is not equal to x or w=zi, where z is a complex number and i is the identity operator. we show that if f: b(x) --> b(x) is an additive mapping lie centralizable at w, then f(a)=ka+h(a) for all a in b(x), where k is a complex number and h:b(x)--> ci is an additive mapping such that h([a,b])=0 for all a,b in b(x) with ab=w.",math.fa math.oa,,2025-02-03,,"['behrooz fadaee', 'hoger ghahramani', 'ayyoub majidi']",[],https://arxiv.org/abs/2502.01213
a question about the fourier transform,2502.01230,this paper formulates a conjectural description of of the space of weightless functions (see\cite{bk}) and raises a question about a possibility of extending such a description in a more general context.,math.gr math.ca math.nt math.rt,,2025-02-03,2025-02-18,['david kazhdan'],[],https://arxiv.org/abs/2502.01230
